"SourceGroup","FullName","Exists","Extension","SizeBytes","LastWriteTime","Signature","Category"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z01 y 16 - Centro y Centro Cívico Gral.Solari.dwg","True",".dwg","1089184","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z02 - Pietrobelli y Balcón del Paraíso.dwg","True",".dwg","296576","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z03 - Jorge Newbery.dwg","True",".dwg","470400","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z04 - Las Flores.dwg","True",".dwg","339424","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z05 - La Floresta.dwg","True",".dwg","354112","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z06 - San Martín.dwg","True",".dwg","488800","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z07 - 9 de Julio.dwg","True",".dwg","286176","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z08 - 13 de Diciembre.dwg","True",".dwg","250720","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z09 - José Fuchs.DWG","True",".DWG","420640","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z10 - Ceferino Namuncurá.dwg","True",".dwg","562240","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z11 - Gral. E.Mosconi, 25 de Mayo y Divina Providencia.dwg","True",".dwg","2132384","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z12 - Presidente Roberto M.Ortiz y Las Orquídeas.dwg","True",".dwg","1389984","26/04/2025 08:36:28 p. m.","AC1021","dwg"
