grupo,nombre,tooltip,texto_visible,archivo_png,tipo_componente
"Barra principal","Abrir proyecto","Abrir proyecto","","barra-principal-abrir-proyecto.png","JButton"
"Barra principal","Abrir tabla de atributos","Abrir tabla de atributos","","barra-principal-abrir-tabla-de-atributos.png","JButton"
"Barra principal","Acercar","Acercar","","barra-principal-acercar.png","JButton"
"Barra principal","Agregar capa al proyecto actual","Agregar capa al proyecto actual","","barra-principal-agregar-capa-al-proyecto-actual.png","JButton"
"Barra principal","Alejar","Alejar","","barra-principal-alejar.png","JButton"
"Barra principal","Buscar por coordenadas","Buscar por coordenadas","","barra-principal-buscar-por-coordenadas.png","JButton"
"Barra principal","Cancelar dibujo o medicion","Cancelar dibujo o medicion","","barra-principal-cancelar-dibujo-o-medicion.png","JButton"
"Barra principal","Cargar tabla externa","Cargar tabla externa","","barra-principal-cargar-tabla-externa.png","JButton"
"Barra principal","Consultar entidades","Consultar entidades","","barra-principal-consultar-entidades.png","JButton"
"Barra principal","Conversor de coordenadas","Conversor de coordenadas","","barra-principal-conversor-de-coordenadas.png","JButton"
"Barra principal","Crear nueva capa vectorial","Crear nueva capa vectorial","","barra-principal-crear-nueva-capa-vectorial.png","JButton"
"Barra principal","Definir CRS del proyecto","Definir CRS del proyecto","","barra-principal-definir-crs-del-proyecto.png","JButton"
"Barra principal","Desplazar mapa","Desplazar mapa","","barra-principal-desplazar-mapa.png","JButton"
"Barra principal","Dibujar lineas","Dibujar lineas","","barra-principal-dibujar-lineas.png","JButton"
"Barra principal","Dibujar multipunto","Dibujar multipunto","","barra-principal-dibujar-multipunto.png","JButton"
"Barra principal","Dibujar poligonos","Dibujar poligonos","","barra-principal-dibujar-poligonos.png","JButton"
"Barra principal","Dibujar puntos","Dibujar puntos","","barra-principal-dibujar-puntos.png","JButton"
"Barra principal","Finalizar dibujo o medicion","Finalizar dibujo o medicion","","barra-principal-finalizar-dibujo-o-medicion.png","JButton"
"Barra principal","Gestor de modulos","Gestor de modulos","","barra-principal-gestor-de-modulos.png","JButton"
"Barra principal","Guardar proyecto","Guardar proyecto","","barra-principal-guardar-proyecto.png","JButton"
"Barra principal","Guardar proyecto como...","Guardar proyecto como...","","barra-principal-guardar-proyecto-como....png","JButton"
"Barra principal","Medir area","Medir area","","barra-principal-medir-area.png","JButton"
"Barra principal","Medir distancia","Medir distancia","","barra-principal-medir-distancia.png","JButton"
"Barra principal","Salvar vista del mapa","Salvar vista del mapa","","barra-principal-salvar-vista-del-mapa.png","JButton"
"Barra principal","Vista anterior","Vista anterior","","barra-principal-vista-anterior.png","JButton"
"Barra principal","Vista siguiente","Vista siguiente","","barra-principal-vista-siguiente.png","JButton"
"Barra principal","Zoom a capa seleccionada","Zoom a capa seleccionada","","barra-principal-zoom-a-capa-seleccionada.png","JButton"
"Barra principal","Zoom a todas las capas","Zoom a todas las capas","","barra-principal-zoom-a-todas-las-capas.png","JButton"
"Cartografía","Abrir CATMAP","","Abrir CATMAP","cartografia-abrir-catmap.png","JButton"
"Cartografía","Activar Esri World Imagery","Activar Esri World Imagery","","cartografia-activar-esri-world-imagery.png","JButton"
"Cartografía","Activar Esri World Topo","Activar Esri World Topo","","cartografia-activar-esri-world-topo.png","JButton"
"Cartografía","Activar OpenStreetMap","Activar OpenStreetMap","","cartografia-activar-openstreetmap.png","JButton"
"Cartografía","Agregar servicio WMS","Agregar servicio WMS","","cartografia-agregar-servicio-wms.png","JButton"
"Cartografía","Elegir mapa base online","Elegir mapa base online","","cartografia-elegir-mapa-base-online.png","JButton"
"Conexiones online","Activar Esri World Imagery","Activar Esri World Imagery","Esri","conexiones-online-activar-esri-world-imagery.png","JButton"
"Conexiones online","Activar OpenStreetMap","Activar OpenStreetMap","OSM","conexiones-online-activar-openstreetmap.png","JButton"
"Conexiones online","Agregar servicio WMS","Agregar servicio WMS","WMS","conexiones-online-agregar-servicio-wms.png","JButton"
"Conexiones online","Elegir mapa base online","Elegir mapa base online","Mapas...","conexiones-online-elegir-mapa-base-online.png","JButton"
"Edición vectorial","Acortar linea","Acortar linea","","edicion-vectorial-acortar-linea.png","JButton"
"Edición vectorial","Aumentar superficie","Aumentar superficie","","edicion-vectorial-aumentar-superficie.png","JButton"
"Edición vectorial","Borrar elemento seleccionado","Borrar elemento seleccionado","","edicion-vectorial-borrar-elemento-seleccionado.png","JButton"
"Edición vectorial","Borrar vertice","Borrar vertice","","edicion-vectorial-borrar-vertice.png","JButton"
"Edición vectorial","Cancelar","Cancelar","","edicion-vectorial-cancelar.png","JButton"
"Edición vectorial","Continuar edicion de linea","Continuar edicion de linea","","edicion-vectorial-continuar-edicion-de-linea.png","JButton"
"Edición vectorial","Copiar elementos seleccionados","Copiar elementos seleccionados","","edicion-vectorial-copiar-elementos-seleccionados.png","JButton"
"Edición vectorial","Copiar elementos seleccionados a la capa en edicion","Copiar elementos seleccionados a la capa en edicion","","edicion-vectorial-copiar-elementos-seleccionados-a-la-capa-en-edicion.png","JButton"
"Edición vectorial","Crear agujero","Crear agujero","","edicion-vectorial-crear-agujero.png","JButton"
"Edición vectorial","Deshacer","Deshacer","","edicion-vectorial-deshacer.png","JButton"
"Edición vectorial","Dibujar circulo","Dibujar circulo","","edicion-vectorial-dibujar-circulo.png","JButton"
"Edición vectorial","Dibujar circulo por 3 puntos","Dibujar circulo por 3 puntos","","edicion-vectorial-dibujar-circulo-por-3-puntos.png","JButton"
"Edición vectorial","Dibujar linea","Dibujar linea","","edicion-vectorial-dibujar-linea.png","JToggleButton"
"Edición vectorial","Dibujar multipunto","Dibujar multipunto","","edicion-vectorial-dibujar-multipunto.png","JToggleButton"
"Edición vectorial","Dibujar poligono","Dibujar poligono","","edicion-vectorial-dibujar-poligono.png","JToggleButton"
"Edición vectorial","Dibujar punto","Dibujar punto","","edicion-vectorial-dibujar-punto.png","JToggleButton"
"Edición vectorial","Dibujar rectangulo","Dibujar rectangulo","","edicion-vectorial-dibujar-rectangulo.png","JButton"
"Edición vectorial","Disminuir superficie","Disminuir superficie","","edicion-vectorial-disminuir-superficie.png","JButton"
"Edición vectorial","Dividir linea o cortar geometria","Dividir linea o cortar geometria","","edicion-vectorial-dividir-linea-o-cortar-geometria.png","JButton"
"Edición vectorial","Dividir poligono","Dividir poligono","","edicion-vectorial-dividir-poligono.png","JButton"
"Edición vectorial","Explotar entidades seleccionadas","Explotar entidades seleccionadas","","edicion-vectorial-explotar-entidades-seleccionadas.png","JButton"
"Edición vectorial","Extender linea","Extender linea","","edicion-vectorial-extender-linea.png","JButton"
"Edición vectorial","Generar poligono adyacente","Generar poligono adyacente","","edicion-vectorial-generar-poligono-adyacente.png","JButton"
"Edición vectorial","Insertar vertice","Insertar vertice","","edicion-vectorial-insertar-vertice.png","JButton"
"Edición vectorial","Limpiar seleccion","Limpiar seleccion","","edicion-vectorial-limpiar-seleccion.png","JButton"
"Edición vectorial","Linea paralela / desplazamiento lateral","Linea paralela / desplazamiento lateral","","edicion-vectorial-linea-paralela-desplazamiento-lateral.png","JButton"
"Edición vectorial","Linea perpendicular","Linea perpendicular","","edicion-vectorial-linea-perpendicular.png","JButton"
"Edición vectorial","Mover elementos seleccionados","Mover elementos seleccionados","","edicion-vectorial-mover-elementos-seleccionados.png","JButton"
"Edición vectorial","Mover mapa","Mover mapa","","edicion-vectorial-mover-mapa.png","JToggleButton"
"Edición vectorial","Mover vertice","Mover vertice","","edicion-vectorial-mover-vertice.png","JToggleButton"
"Edición vectorial","Opciones de capa","Opciones de capa","","edicion-vectorial-opciones-de-capa.png","JButton"
"Edición vectorial","Pegar elementos en la capa en edicion","Pegar elementos en la capa en edicion","","edicion-vectorial-pegar-elementos-en-la-capa-en-edicion.png","JButton"
"Edición vectorial","Rehacer","Rehacer","","edicion-vectorial-rehacer.png","JButton"
"Edición vectorial","Salvar cambios","Salvar cambios","","edicion-vectorial-salvar-cambios.png","JButton"
"Edición vectorial","Seleccionar elemento de la capa editable","Seleccionar elemento de la capa editable","","edicion-vectorial-seleccionar-elemento-de-la-capa-editable.png","JToggleButton"
"Edición vectorial","Terminar","Terminar","","edicion-vectorial-terminar.png","JButton"
"Edición vectorial","Unir elementos","Unir elementos","","edicion-vectorial-unir-elementos.png","JButton"
